City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,aripuana,-10.1758,-59.444,306.1,43,95,1.99,BR,1701711606
83,ribeira grande,37.8225,-25.5195,290.34,63,40,3.09,PT,1701711606
84,klaksvik,62.2266,-6.5853,275.73,75,99,8.69,FO,1701711607
85,aberdeen,57.1482,-2.0928,278.0,84,75,4.12,GB,1701711608
86,al ghayzah,13.5591,44.0257,288.25,77,29,4.24,YE,1701711608
87,loiza,18.4327,-65.8798,303.47,63,40,7.72,US,1701711609
88,wad medani,14.3966,33.531,303.5,25,4,4.37,SD,1701711610
89,kolonia,50.9384,6.96,274.45,84,100,4.63,DE,1701711610
90,el nido,11.18,119.3905,300.71,79,22,3.22,PH,1701711611
91,mount pearl,47.5189,-52.8145,273.21,95,100,5.14,CA,1701711612
92,badger,42.6144,-94.1462,271.15,93,100,5.66,US,1701711612
93,toliara,-23.3542,43.6697,297.13,82,0,1.44,MG,1701711613
94,saint-philippe,45.3584,-73.479,270.71,96,100,4.63,CA,1701711614
95,isangel,-19.5411,169.2811,297.48,87,76,2.51,VU,1701711615
96,jamestown,-15.9277,-5.7161,294.44,82,83,6.75,SH,1701711625
97,okondja,-0.6555,13.6827,296.08,91,70,1.19,GA,1701711626
98,east london,-33.0192,27.8999,291.79,82,100,3.6,ZA,1701711627
99,lebu,-37.61,-73.6559,287.91,68,0,8.53,CL,1701711627
100,kingston,17.9712,-76.7928,304.05,58,40,1.54,JM,1701711628
101,albany,42.6512,-73.755,280.92,88,75,2.06,US,1701711629
102,tolanaro,-25.0297,46.9904,297.03,73,40,7.2,MG,1701711630
103,selfoss,63.9368,-21.0035,271.47,70,100,3.48,IS,1701711630
104,shimoda,34.6795,138.9454,279.8,66,84,1.87,JP,1701711631
105,fonte boa,-2.55,-66.9132,300.63,82,98,1.33,BR,1701711632
106,filey,54.2097,-0.2888,279.03,92,100,4.02,GB,1701711633
107,hermanus,-34.4175,19.2361,290.81,74,34,3.01,ZA,1701711633
108,pangkalpinang,-2.1207,106.1135,297.83,91,100,0.75,ID,1701711634
109,carlos chagas,-21.7444,-43.3909,301.13,68,77,3.68,BR,1701711635
110,vilyuchinsk,52.9318,158.4054,266.46,86,77,1.68,RU,1701711635
111,weno,7.4401,151.857,300.62,74,75,2.57,FM,1701711636
112,anadyr,64.7317,177.5061,253.08,84,20,6.0,RU,1701711636
113,howrah,22.5736,88.3251,297.12,73,75,0.0,IN,1701711637
114,zouerate,22.7374,-12.4729,299.02,26,67,2.74,MR,1701711638
115,kerikeri,-35.2273,173.9491,290.75,92,100,1.53,NZ,1701711638
116,chonchi,-42.624,-73.7724,290.94,52,51,2.51,CL,1701711639
117,uray,60.1291,64.8036,256.93,94,100,5.36,RU,1701711640
118,margaret river,-33.9532,115.0769,287.19,78,100,2.52,AU,1701711640
119,san patricio,27.9695,-97.7732,294.17,31,83,3.12,US,1701711641
120,idri,27.4457,13.0491,289.62,48,0,3.69,LY,1701711642
121,qaqortoq,60.7182,-46.0385,268.62,71,100,4.97,GL,1701711642
122,port lincoln,-34.7212,135.8592,290.57,83,86,3.27,AU,1701711643
123,khandyga,62.6478,135.5751,223.58,100,88,0.31,RU,1701711644
124,ar rahad,14.5686,43.749,292.22,62,8,0.44,YE,1701711644
125,hadibu,12.6512,54.0237,298.65,67,10,7.93,YE,1701711646
126,burdell,-19.2302,146.6975,299.12,83,40,2.57,AU,1701711646
127,isafjordur,66.0727,-23.1194,272.2,74,0,1.03,IS,1701711647
128,hawaiian paradise park,19.585,-154.9731,293.11,93,0,3.6,US,1701711648
129,luderitz,-26.65,15.1573,292.86,56,0,12.69,NA,1701711648
130,sayan,21.3182,72.8857,297.05,68,17,4.8,IN,1701711649
131,jalai nur,49.4577,117.7123,265.25,82,99,7.05,CN,1701711650
132,suihua,46.652,126.9607,258.99,100,83,3.39,CN,1701711650
133,ust-nera,64.5664,143.2378,228.69,99,93,2.11,RU,1701711651
134,santa ana,33.7495,-117.8732,290.85,53,75,1.54,US,1701711652
135,recreo,-29.2815,-65.0624,287.34,72,100,3.89,AR,1701711652
136,taltal,-25.4078,-70.4858,292.94,65,10,3.2,CL,1701711653
137,ancud,-41.8682,-73.8287,288.97,66,2,2.74,CL,1701711654
138,muscat,23.6152,58.5912,297.17,66,22,1.62,OM,1701711655
139,bowen,40.2334,-91.0626,277.68,60,14,2.38,US,1701711655
140,saynshand,44.8884,110.1431,265.95,82,7,4.19,MN,1701711656
141,tarawa,36.4768,44.4778,282.94,32,86,0.69,IQ,1701711657
142,gadzhiyevo,69.2504,33.3153,264.07,92,99,1.58,RU,1701711657
143,kenai,60.5544,-151.2583,270.9,71,100,8.23,US,1701711658
144,pagalungan,7.0599,124.6992,296.74,93,73,0.69,PH,1701711669
145,thinadhoo,0.5326,72.9971,301.17,77,81,2.44,MV,1701711669
146,kingscliff,-28.2567,153.5761,294.88,94,75,2.06,AU,1701711670
147,nadym,65.5336,72.5114,238.65,100,100,2.08,RU,1701711671
148,las lomitas,-24.7075,-60.5943,291.6,97,100,3.86,AR,1701711671
149,happy valley-goose bay,53.2964,-60.3112,262.44,79,100,0.0,CA,1701711672
150,morondava,-20.2951,44.2786,300.2,79,12,4.88,MG,1701711673
151,tazovsky,67.4735,78.7149,237.24,100,10,2.13,RU,1701711673
152,flin flon,54.7698,-101.879,264.88,93,100,1.54,CA,1701711674
153,saipan,15.191,145.7467,298.26,83,20,6.69,US,1701711675
154,broken hill,-31.965,141.4511,299.86,23,1,5.02,AU,1701711676
155,hammerfest,70.6413,23.8361,269.59,80,75,1.03,NO,1701711676
156,standerton,-26.9433,29.2436,296.89,27,87,1.38,ZA,1701711677
157,gizo,29.9871,31.2118,294.57,48,0,2.94,EG,1701711677
158,taro,-8.3862,115.28,295.85,96,100,0.94,ID,1701711678
159,shingu,33.7241,135.993,281.67,59,100,2.25,JP,1701711679
160,codo,41.3334,-0.6994,285.22,58,15,7.12,ES,1701711679
161,shanhaiguan,39.9988,119.7564,275.22,43,4,1.66,CN,1701711680
162,north bend,47.4958,-121.7849,280.84,94,100,4.92,US,1701711681
163,san rafael del sur,11.8465,-86.4389,300.72,56,15,6.74,NI,1701711681
164,arua,44.0604,-0.3509,283.06,94,100,4.39,FR,1701711682
165,sola,37.5667,126.9783,275.43,65,75,3.09,KR,1701711683
166,kitgum,3.2965,32.8818,299.24,53,95,1.97,UG,1701711683
167,behshahr,36.6912,53.5434,282.11,39,0,1.72,IR,1701711684
168,musay'id,34.8609,37.3343,287.87,54,34,4.57,SY,1701711685
169,arno,7.063,171.5553,301.07,78,75,2.06,MH,1701711686
170,mossel bay,-34.1832,22.1536,292.21,71,27,4.11,ZA,1701711686
171,am djarass,16.0663,22.835,294.58,13,69,5.0,TD,1701711687
172,olonkinbyen,70.9224,-8.716,271.66,76,100,3.85,NO,1701711688
173,port mathurin,-19.6808,63.4221,299.3,82,2,4.56,MU,1701711689
174,port macquarie,-31.4299,152.9104,288.85,92,23,1.11,AU,1701711690
175,rabo de peixe,37.8083,-25.5851,290.19,63,40,3.09,PT,1701711690
176,bandrele,-12.9123,45.1939,299.14,89,0,1.03,FR,1701711691
177,amarillo,35.2072,-101.8338,283.24,28,0,6.17,US,1701711691
178,karsun,54.1971,46.9793,263.31,90,100,6.32,RU,1701711692
179,guadalupe y calvo,26.0915,-106.9617,290.61,14,0,1.31,MX,1701711693
180,constantia,44.1767,28.6508,273.62,58,35,1.21,RO,1701711693
181,santana,-12.9792,-44.0506,307.29,31,99,1.65,BR,1701711694
182,tank,32.2097,70.3881,290.85,31,0,0.74,PK,1701711695
183,okha,53.5891,142.9498,263.3,87,95,4.7,RU,1701711695
184,virginia beach,36.853,-75.9774,288.35,74,75,3.6,US,1701711696
185,chegdomyn,51.1345,133.0356,255.55,99,95,0.81,RU,1701711697
186,dudinka,69.4061,86.1751,238.55,96,77,2.68,RU,1701711697
187,dolores,38.1392,-0.7693,285.83,62,100,0.45,ES,1701711698
188,vila velha,-20.3297,-40.292,304.23,66,20,9.26,BR,1701711699
189,sitka,57.0525,-135.3376,282.05,61,100,8.23,US,1701711699
190,castillos,-34.2003,-53.8608,291.33,46,0,4.99,UY,1701711710
191,guarapari,-20.6719,-40.4985,304.22,66,24,8.3,BR,1701711711
192,amarnath,33.8011,74.2602,281.66,37,0,3.31,IN,1701711711
193,adoni,39.9135,9.1858,282.3,86,100,1.48,IT,1701711712
194,benghazi,32.1061,20.0667,292.65,58,18,5.01,LY,1701711713
195,leshan,29.5851,103.7478,285.32,78,53,0.4,CN,1701711713
196,belmonte,39.5593,-2.7038,280.67,76,78,3.68,ES,1701711714
197,na mom,6.9585,100.5564,298.06,100,40,2.06,TH,1701711715
198,cartagena del chaira,1.3345,-74.8414,307.7,36,63,2.47,CO,1701711715
199,senanga,-16.1041,23.3018,299.36,50,54,3.9,ZM,1701711716
200,bunyan,-36.1657,149.1535,285.38,83,49,1.53,AU,1701711716
201,hanceville,34.0623,-86.7627,288.9,42,2,6.76,US,1701711717
202,carupano,10.6494,-63.2542,301.78,66,18,5.77,VE,1701711718
203,tindouf,27.6718,-8.1397,298.42,25,0,4.12,DZ,1701711718
204,carnarvon,-24.8826,113.6576,296.84,76,3,10.1,AU,1701711719
205,patong,7.8994,98.3086,300.18,83,100,5.9,TH,1701711720
206,arawa,-6.2263,155.5651,298.86,89,100,2.5,PG,1701711721
207,okhotsk,59.3644,143.2411,239.64,83,60,5.75,RU,1701711722
208,yeniseysk,58.4532,92.1748,251.14,88,100,5.12,RU,1701711723
209,vingt cinq,-10.3887,56.6177,301.72,76,34,5.13,MU,1701711724
210,west fargo,46.875,-96.9004,271.15,74,100,3.6,US,1701711725
211,cabo san lucas,22.8939,-109.9201,301.7,48,0,1.86,MX,1701711725
212,souillac,44.898,1.4694,283.21,94,88,2.76,FR,1701711726
213,keelung,25.1322,121.742,292.2,90,100,4.14,TW,1701711577
214,datong,40.092,113.2951,271.71,45,0,2.28,CN,1701711727
215,enewetak,11.3409,162.3245,300.64,73,100,8.22,MH,1701711728
216,pisco,-13.71,-76.203,294.09,78,75,4.12,PE,1701711728
217,beni,0.4761,29.1893,291.97,99,94,0.62,CD,1701711730
218,antofagasta,-23.6464,-70.398,293.81,65,12,4.2,CL,1701711730
219,hailar,49.2389,120.0229,266.06,73,100,6.84,CN,1701711731
220,carutapera,-1.2017,-46.0206,303.73,61,78,3.53,BR,1701711732
221,porto novo,6.4991,2.6253,303.03,76,1,3.43,BJ,1701711732
222,lata,18.3983,76.5621,293.64,76,100,3.6,IN,1701711733
223,orlov,58.5363,48.8851,264.35,93,100,3.13,RU,1701711734
224,de aar,-30.6506,24.0075,299.95,7,0,6.57,ZA,1701711734
225,sao vicente,-23.9604,-46.3847,302.12,55,100,2.06,BR,1701711735
226,montepuez,-13.1253,39.0017,297.21,77,94,2.87,MZ,1701711736
227,el alto,-16.5048,-68.1624,288.33,51,75,3.09,BO,1701711737
228,nikolayevsk-on-amure,53.1387,140.7249,256.63,99,74,1.52,RU,1701711737
229,usogorsk,63.4295,48.7062,257.95,97,99,1.84,RU,1701711738
230,kaiapoi,-43.3832,172.6522,283.71,87,100,2.06,NZ,1701711738
231,seguin,29.5688,-97.9647,291.62,35,0,4.12,US,1701711739
232,badiyah,22.4501,58.8003,295.54,49,1,0.49,OM,1701711740
233,cuatro cienegas de carranza,26.9865,-102.0633,294.53,19,0,1.54,MX,1701711741
234,stanley,-51.6951,-57.8492,284.04,58,20,10.29,FK,1701711741
235,aldinga beach,-35.2793,138.4604,293.79,73,63,3.23,AU,1701711752
236,vadso,70.2267,29.7828,267.13,93,75,3.09,NO,1701711752
237,cidreira,-30.1657,-50.2183,291.96,86,100,6.68,BR,1701711753
238,kailua-kona,19.6419,-155.9969,296.06,80,20,2.06,US,1701711754
239,byron bay,-28.6483,153.6178,292.82,85,48,2.43,AU,1701711754
240,upington,-28.4563,21.2419,306.4,12,0,4.12,ZA,1701711755
241,sarandi del yi,-33.3442,-55.6313,295.74,37,0,6.73,UY,1701711756
242,prince rupert,54.3127,-130.3255,280.33,84,100,12.86,CA,1701711756
243,avarua,-21.2075,-159.7708,298.14,78,46,3.6,CK,1701711757
244,tambura,15.0987,74.9296,295.1,72,99,2.8,IN,1701711758
245,karamay,45.5778,84.8867,274.98,67,41,4.84,CN,1701711758
246,la ronge,55.1005,-105.29,262.25,85,20,2.57,CA,1701711759
247,rio branco,-9.9765,-67.8221,305.45,62,40,4.63,BR,1701711760
248,daru,-9.0699,143.21,299.9,85,79,5.24,PG,1701711760
249,kone,-21.0608,164.8619,296.33,85,82,1.59,FR,1701711761
250,rongelap,11.1629,166.8943,300.88,72,86,9.56,MH,1701711762
251,uliastay,47.7416,96.8475,255.81,92,34,2.39,MN,1701711762
252,mafeteng,-29.8224,27.2388,296.1,30,98,3.84,LS,1701711763
253,an nuhud,12.6922,28.4221,298.21,21,75,5.11,SD,1701711763
254,vila franca do campo,37.7172,-25.4335,290.38,76,92,2.2,PT,1701711764
255,horta,38.5368,-28.6301,289.96,64,40,5.81,PT,1701711765
256,prince george,53.9129,-122.7454,275.44,80,75,5.14,CA,1701711765
257,xai-xai,-25.0445,33.6407,295.92,76,0,5.83,MZ,1701711766
258,ijuw,-0.5152,166.9573,300.91,76,100,7.55,NR,1701711767
259,yorkton,51.212,-102.4612,262.05,92,0,1.54,CA,1701711767
260,pointe-noire,-4.7975,11.8503,300.16,79,95,2.59,CG,1701711768
261,stjordalshalsen,63.4712,10.9189,261.14,85,75,5.14,NO,1701711769
262,mar del plata,-37.9977,-57.5483,289.41,58,0,6.17,AR,1701711770
263,alotau,-10.3061,150.4464,297.14,94,80,1.88,PG,1701711770
264,vorgashor,67.5812,63.7837,245.8,93,5,2.84,RU,1701711771
265,terrace,54.5173,-128.5995,276.1,93,100,1.03,CA,1701711772
266,aasiaat,68.7096,-52.8513,260.98,88,100,2.14,GL,1701711773
267,pemangkat,1.1561,108.9713,297.52,88,100,3.19,ID,1701711774
